filename, language, Properties, JavaScript, JSON, Vue, CSS, HTML, Markdown, comment, blank, total
f:\sirweb\.editorconfig, Properties, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
f:\sirweb\.eslintrc.js, JavaScript, 0, 20, 0, 0, 0, 0, 0, 8, 2, 30
f:\sirweb\.postcssrc.js, JavaScript, 0, 7, 0, 0, 0, 0, 0, 2, 2, 11
f:\sirweb\README.md, Markdown, 0, 0, 0, 0, 0, 0, 20, 0, 11, 31
f:\sirweb\build\build.js, JavaScript, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
f:\sirweb\build\check-versions.js, JavaScript, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
f:\sirweb\build\utils.js, JavaScript, 0, 81, 0, 0, 0, 0, 0, 5, 17, 103
f:\sirweb\build\vue-loader.conf.js, JavaScript, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
f:\sirweb\build\webpack.base.conf.js, JavaScript, 0, 93, 0, 0, 0, 0, 0, 7, 5, 105
f:\sirweb\build\webpack.dev.conf.js, JavaScript, 0, 82, 0, 0, 0, 0, 0, 8, 7, 97
f:\sirweb\build\webpack.prod.conf.js, JavaScript, 0, 118, 0, 0, 0, 0, 0, 24, 8, 150
f:\sirweb\config\dev.env.js, JavaScript, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
f:\sirweb\config\index.js, JavaScript, 0, 37, 0, 0, 0, 0, 0, 27, 16, 80
f:\sirweb\config\prod.env.js, JavaScript, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
f:\sirweb\config\test.env.js, JavaScript, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
f:\sirweb\index.html, HTML, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
f:\sirweb\package-lock.json, JSON, 0, 0, 15618, 0, 0, 0, 0, 0, 1, 15619
f:\sirweb\package.json, JSON, 0, 0, 93, 0, 0, 0, 0, 0, 1, 94
f:\sirweb\src\App.vue, Vue, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
f:\sirweb\src\components\AB.vue, Vue, 0, 0, 0, 255, 0, 0, 0, 13, 1, 269
f:\sirweb\src\components\Advlist.vue, Vue, 0, 0, 0, 91, 0, 0, 0, 0, 1, 92
f:\sirweb\src\components\Banner.vue, Vue, 0, 0, 0, 490, 0, 0, 0, 27, 1, 518
f:\sirweb\src\components\Bannertext.vue, Vue, 0, 0, 0, 55, 0, 0, 0, 1, 1, 57
f:\sirweb\src\components\Bannertools.vue, Vue, 0, 0, 0, 156, 0, 0, 0, 2, 1, 159
